,job_title,company_name,location,date_posted,experience,currency,min_salary,max_salary,median_salary
140,"Data Analyst - Marketing Analytics, Regional Brand & Growth Marketing",RECRUIT EXPRESS PTE LTD,Singapore,Posted a month ago,1,,,,
141,Data Analyst,StarHub,"Singapore, Boon Lay, Jalan Boon Lay",Posted a month ago,,USD,60000.0,72000.0,66000.0
142,Data Analyst - JK,Elliott Moss Consulting Pte Ltd,Singapore,Posted a month ago,1,USD,48000.0,52800.0,50400.0
143,Data Analyst,Elliott Moss Consulting Pte Ltd,Singapore,Posted a month ago,4,,,,
144,Lead Data Analyst (International Centre for Aviation Innovation),TikTok,Singapore,Posted a month ago,1,,,,
145,Data Analyst - Fintech Company,GlobalFoundries,Singapore,Posted a month ago,1,,,,
146,"Sr Data Analyst , Information Analytics Services",DBS Bank,Singapore,Posted a month ago,6,,,,
147,Data Analyst Intern,Crypto.com,Singapore,Posted a month ago,1,,,,
148,"Asset and Wealth Management, Operations - Public, Data Analytics, Analyst/Associate, Singapore",Munich Re,Singapore,Posted 17 days ago,3,,,,
149,"Sr Data Analyst, Information Management Systems",GIC PRIVATE LIMITED,Singapore,Posted a month ago,3,,,,
150,Data Analyst (Internship),ASIAONE ONLINE PTE. LTD.,Singapore,Posted a month ago,1,,,,
151,Junior Data Analyst,,Singapore,Posted a month ago,1,,,,
152,Data Analyst,SHARKNINJA APAC HOLDING PTE. LTD.,Singapore,Posted a month ago,3,,,,
153,"Data Analyst, Data Centre",GIC PRIVATE LIMITED,Singapore,Posted a month ago,1,,,,
154,Data Analyst,Synapxe,"Shenton Way, Singapore",Posted a month ago,,USD,78000.0,102000.0,90000.0
155,"Data/Research Analyst (1 yr contract, up to $7k)",GMP Technologies,Singapore,Posted 17 days ago,,USD,72000.0,84000.0,78000.0
156,Data Analyst - AI Innovation Business,RECRUIT EXPRESS PTE LTD,Singapore,Posted a month ago,4,,,,
157,Senior/ Data Analyst (Data Analytics) (Contract),PRUDENTIAL ASSURANCE COMPANY SINGAPORE (PTE) LIMITED,Singapore,Posted a month ago,,USD,48000.0,72000.0,60000.0
158,Data Analyst - Buyer & Marketing (2025 Fresh Graduates),Shopee,Singapore,Posted a month ago,1,,,,
159,Data Analyst (JD#9757),ST ENGINEERING LAND MRO & SERVICES PTE. LTD.,Singapore,Posted a month ago,,USD,42000.0,54000.0,48000.0
160,Data Analyst - Contract,PASONA SINGAPORE PTE. LTD.,Singapore,Posted a month ago,2,,,,
161,Data Analyst,OSL,Singapore,Posted a month ago,1,,,,
162,Regional Operations Data Analyst,Civil Aviation Authority of Singapore,Singapore,Posted a month ago,2,,,,
163,"Data Analyst - Business Intelligence, Regional Operations",Empower Partners Singapore,Singapore,Posted a month ago,1,,,,
164,Regional Marketplace Operations Data Analyst,Tan Tock Seng Hospital,Singapore,Posted a month ago,1,,,,
165,Data Business Analyst,Razer Inc.,Singapore,Posted 17 days ago,,USD,102000.0,144000.0,123000.0
166,Data Analyst - Regional Operations,Goldman Sachs,Singapore,Posted a month ago,3,,,,
167,Senior Data Analyst,Tan Tock Seng Hospital,Singapore,Posted a month ago,4,,,,
168,Actuarial Data Analyst,,Singapore,Posted a month ago,1,,,,
169,Senior Data Analyst,GIC PRIVATE LIMITED,Singapore,Posted a month ago,,USD,45600.0,62400.0,54000.0
170,Data Analyst,ShopBack,Singapore,Posted a month ago,,USD,60000.0,96000.0,78000.0
171,Data Analyst,Kpler,Singapore,Posted a month ago,,USD,36000.0,42000.0,39000.0
172,Data Analyst (JD#9795),JobAlly,Singapore,Posted a month ago,,USD,48000.0,66000.0,57000.0
173,Data Analyst,Singtel,"Singapore, Cecil Street",Posted a month ago,,USD,48000.0,60000.0,54000.0
174,"12 Months Data Analyst, Raffles Place",LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,Posted a month ago,,USD,36000.0,42000.0,39000.0
175,Data Analyst,PEOPLEBANK SINGAPORE PTE. LTD.,Singapore,Posted a month ago,,USD,36000.0,42000.0,39000.0
176,Data Analyst,ByteDance,Singapore,Posted a month ago,,USD,54000.0,84000.0,69000.0
177,Data Analyst (JD#9784),NATIONAL UNIVERSITY HEALTH SERVICES GROUP PTE. LTD.,Singapore,Posted a month ago,,USD,42000.0,60000.0,51000.0
178,Data Analyst (JD#9823),Shopee,Singapore,Posted a month ago,,USD,48000.0,60000.0,54000.0
179,"Senior Data Analyst, Data Management Unit (Healthcare Sector) - #SM",SCIENTE INTERNATIONAL PTE. LTD.,Singapore,Posted a month ago,,USD,57600.0,67200.0,62400.0
180,Senior Data Analyst,ZENITH INFOTECH (S) PTE LTD.,"Shenton Way, Singapore",Posted a month ago,,USD,96000.0,120000.0,108000.0
181,Data Analyst (JD#9757),Mighty Bear Games,Singapore,Posted a month ago,,USD,42000.0,54000.0,48000.0
182,Data Analyst - Contract,Shopee,Singapore,Posted a month ago,2,,,,
183,Data Analyst,Shopee,Singapore,Posted a month ago,1,,,,
184,Data Analyst (Digital Transformation),Shopee,Singapore,Posted a month ago,3,,,,
185,Regional Operations Data Analyst,,Singapore,Posted a month ago,2,,,,
186,"Data Analyst - Business Intelligence, Regional Operations",ShopBack,Singapore,Posted a month ago,1,,,,
187,Data Business Analyst,IKAS INTERNATIONAL (ASIA) PTE. LTD.,Singapore,Posted 17 days ago,,USD,102000.0,144000.0,123000.0
188,Actuarial Data Analyst,Shopee,Singapore,Posted a month ago,1,,,,
189,Data Analyst - JK,QCP,Singapore,Posted a month ago,1,USD,48000.0,52800.0,50400.0
190,Data Analyst,Munich Re,"Eunos, Singapore",Posted a month ago,,USD,72000.0,144000.0,108000.0
191,"AVP, Senior Data Analyst, Data Governance (GDMO)",FINEXIS ADVISORY PTE. LTD.,Singapore,Posted a month ago,4,,,,
192,Strategy Data Analyst,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Singapore,Posted a month ago,,USD,78000.0,102000.0,90000.0
193,Data Analyst,A-STAR TESTING & INSPECTION (S) PTE. LTD.,"Singapore, Tai Seng",Posted a month ago,,USD,54000.0,78000.0,66000.0
194,Data Analyst,SCIENTE INTERNATIONAL PTE. LTD.,Singapore,Posted a month ago,,USD,48000.0,60000.0,54000.0
195,Data Analyst,INNOCELLENCE SYSTEMS PTE. LTD.,"Singapore, Kallang",Posted a month ago,,USD,42000.0,66000.0,54000.0
196,Data Analyst,HUDSON RPO (SINGAPORE) PTE. LTD.,"Singapore, Raffles Link / Raffles Place",Posted a month ago,,USD,60000.0,63600.0,61800.0
197,Data Analyst - JO3125,A STAR TECHNICAL SERVICES PTE. LTD.,"Singapore, Raffles Link / Raffles Place",Posted a month ago,,USD,60000.0,66000.0,63000.0
198,Data Analyst,ANTER RECRUITMENT PTE. LTD.,Singapore,Posted a month ago,,USD,48000.0,60000.0,54000.0
199,Data Analyst,SCIENTE INTERNATIONAL PTE. LTD.,"Singapore, Toa Payoh",Posted a month ago,,USD,60000.0,84000.0,72000.0
200,Data Analyst***,SCIENTE INTERNATIONAL PTE. LTD.,Singapore,Posted a month ago,,USD,48000.0,60000.0,54000.0
201,Lead Data Analyst,TALENTS@WORK PTE. LTD.,Singapore,Posted a month ago,9,,,,
202,Business & Data Analyst,,"Scotts Road, Singapore",Posted a month ago,,USD,54000.0,84000.0,69000.0
203,Data Analyst,IKAS INTERNATIONAL (ASIA) PTE. LTD.,"Singapore, Tai Seng",Posted a month ago,,USD,54000.0,78000.0,66000.0
204,Strategy Data Analyst,LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,Posted a month ago,,USD,78000.0,102000.0,90000.0
205,Data Analyst,SCIENTE INTERNATIONAL PTE. LTD.,Singapore,Posted a month ago,,USD,48000.0,60000.0,54000.0
206,Data Analyst (JD#9784),ZENITH INFOTECH (S) PTE LTD.,Singapore,Posted a month ago,,USD,42000.0,60000.0,51000.0
207,Data Analyst (JD#9823),Mighty Bear Games,Singapore,Posted a month ago,,USD,48000.0,60000.0,54000.0
208,"Senior Data Analyst, Data Management Unit (Healthcare Sector) - #SM",GMP Technologies,Singapore,Posted a month ago,,USD,57600.0,67200.0,62400.0
209,Aug/Sept 2025 Data Analyst (HealthTech Associate Programme),Shopee,Singapore,Posted a month ago,1,,,,
210,Associate Data Analyst,Shopee,Singapore,Posted a month ago,1,,,,
211,Associate Data Analyst,IKAS INTERNATIONAL (ASIA) PTE. LTD.,Singapore,Posted a month ago,1,,,,
212,"Associate Manager, Data Analyst",Munich Re,Singapore,Posted a month ago,6,,,,
213,Senior Data Analyst,PASONA SINGAPORE PTE. LTD.,Singapore,Posted a month ago,6,,,,
214,Data Analyst - Global Payment - Singapore,ACTIVATE INTERACTIVE PTE LTD,Singapore,Posted a month ago,6,,,,
215,Data Analyst,OCBC,Singapore,Posted a month ago,1,,,,
216,Data Analyst,XFERS PTE. LTD.,Singapore,Posted a month ago,1,,,,
217,TikTok Shop - Data Analyst Intern - 2025 Start,WILLIAMS-SONOMA SINGAPORE PTE. LTD.,Singapore,Posted a month ago,1,,,,
218,E-commerce Data Analyst,90 SECONDS PTE. LTD.,Singapore,Posted a month ago,4,,,,
219,"Data Analyst, Singapore",,Singapore,Posted a month ago,6,,,,
220,Aug/Sept 2025 Data Analyst (HealthTech Associate Programme),LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,Posted a month ago,1,,,,
221,TikTok Shop - Data Analyst,PYLON.AI PTE. LTD.,Singapore,Posted a month ago,4,,,,
222,Data Analyst (BI&A) - SeaMoney Credit,CTES CONSULTING PTE. LTD.,Singapore,Posted a month ago,1,,,,
223,Data Analyst,CTES CONSULTING PTE. LTD.,Singapore,Posted a month ago,7 - 9 Years,,,,
224,Senior/ Data Analyst (Data Engineering) (Contract),AD ASTRA CONSULTANTS PRIVATE LTD.,Singapore,Posted a month ago,3,,,,
225,Data Analyst Intern,SPH MEDIA LIMITED,Singapore,Posted a month ago,1,,,,
226,Data Analyst,ETHOS SEARCH ASSOCIATES PTE. LTD.,Singapore,Posted a month ago,3,,,,
227,Aug/Sept 2025 Data Analyst (HealthTech Associate Programme),Ubisoft,Singapore,Posted a month ago,1,,,,
228,"Data Analyst, Singapore",SWAT MOBILITY PTE. LTD.,Singapore,Posted a month ago,6,,,,
229,Senior/ Data Analyst (Data Engineering) (Contract),WILLIAMS-SONOMA SINGAPORE PTE. LTD.,Singapore,Posted a month ago,,USD,48000.0,72000.0,60000.0
230,Senior/ Data Analyst (Data Engineering) (Contract),XFERS PTE. LTD.,Singapore,Posted a month ago,3,,,,
231,Data Analyst (Contract),90 SECONDS PTE. LTD.,Singapore,Posted a month ago,2,,,,
232,Data Analyst - AI Innovation Business,SCIENTE INTERNATIONAL PTE. LTD.,Singapore,Posted a month ago,4,,,,
233,Data Analyst ( Power BI SQL MDM ),SCIENTE INTERNATIONAL PTE. LTD.,"Singapore, Raffles Link / Raffles Place",Posted a month ago,,USD,60000.0,72000.0,66000.0
234,Senior Data Analyst (Marketing),TALENTS@WORK PTE. LTD.,Singapore,Posted a month ago,6,,,,
235,Data Analyst,Synapxe,Singapore,Posted a month ago,6,,,,
236,Senior Data Analyst,,"Shenton Way, Singapore",Posted a month ago,,USD,96000.0,120000.0,108000.0
237,Data Analyst,PYLON.AI PTE. LTD.,Singapore,Posted a month ago,3,,,,
238,Senior/ Data Analyst (Data Analytics) (Contract),Aon,Singapore,Posted a month ago,,USD,48000.0,72000.0,60000.0
239,Data Analyst (Proficient in Hindi/Tamil Language),Aon,Singapore,Posted a month ago,1,,,,
240,Data Analyst (Proficient in Hindi/Tamil Language),KPMG Singapore,Singapore,Posted a month ago,1,,,,
241,"Data Analyst (Tableau, R, Python, SQL, Power BI, Advanced Excel)",Sleek,"Singapore, Bukit Batok",Posted a month ago,,USD,42000.0,60000.0,51000.0
242,Data Solution Operations - Analyst,ByteDance,Singapore,Posted 2 days ago,1,,,,
243,IT Business Analyst (Data Analytics / Agile),Aon,Singapore,Posted 2 days ago,4,,,,
244,"AIML - Data Operations Annotation Analyst, Vietnamese (12 months contract)",N2S.Global,Singapore,Posted a day ago,1,,,,
245,"IT Application Analyst, Data & Process Analytics",TikTok,"Singapore, Bendemeer",Posted 2 days ago,6,,,,
246,IT Analyst (Data),TikTok,Singapore,Posted 2 days ago,6,,,,
247,IT Analyst (Data),TikTok,Singapore,Posted 2 days ago,6,,,,
248,Business Analyst - Data Conversion (NGEMR),Synapxe,"Singapore, North Buona Vista",Posted 2 days ago,11,,,,
249,Demand Analyst (Data Scientist),TikTok,Singapore,Posted 2 days ago,4 - 7 Years,,,,
250,Data and Pricing Analyst,SeaMoney,Singapore,Posted 2 days ago,6,,,,
251,IT Analyst (Data),Stripe,Singapore,Posted 2 days ago,6,,,,
252,Data Researcher/ Research Analyst,NATIONAL UNIVERSITY HEALTH SERVICES GROUP PTE. LTD.,"Singapore, Marina",Posted 2 days ago,2,,,,
253,Technical Business Analyst - Data Engineering & AI (Investment Bank),,Singapore,Posted 2 days ago,9,,,,
254,"IT Business Intelligence Analyst, Data & Analytics",Aon,"Singapore, Tai Seng",Posted 2 days ago,4,,,,
255,"[Temp for 7 months] Analyst (Data Office), SPR",Razer Inc.,Singapore,Posted 10 days ago,1,,,,
256,"Intermediate Business Analyst, Data Solutions",foodpanda,"Singapore, Marina",Posted 17 days ago,,USD,84000.0,132000.0,108000.0
257,"IT Application Analyst, Data & Process Analytics",Synapxe,"Singapore, Bendemeer",Posted 17 days ago,,USD,72000.0,108000.0,90000.0
258,Business Analyst (Data Warehouse & Analytics),TikTok,"Singapore, North Buona Vista",Posted 17 days ago,,USD,72000.0,108000.0,90000.0
259,"Business Analyst, Data Governance (Bank l Contract) Up to $8K",NATIONAL UNIVERSITY HEALTH SERVICES GROUP PTE. LTD.,Singapore,Posted 17 days ago,,USD,60000.0,96000.0,78000.0
260,Business Analyst (Data),NATIONAL UNIVERSITY HEALTH SERVICES GROUP PTE. LTD.,"Shenton Way, Singapore",Posted 17 days ago,,USD,96000.0,132000.0,114000.0
261,Lead/ Senior Research Analyst (Data Science),JTC Corporation,Singapore,Posted 16 days ago,1,,,,
262,AIML - Data Operations Annotation Analyst (Vietnamese),ByteDance,"Singapore, Ang Mo Kio",Posted 17 days ago,,USD,36000.0,42000.0,39000.0
263,"Operations Analyst, Data Services",RANDSTAD PTE. LIMITED,Singapore,Posted 15 days ago,3,,,,
264,Business Analyst - Data Management,ExpressVPN,Singapore,Posted 17 days ago,,USD,96000.0,144000.0,120000.0
265,SAP Data Migration Analyst,Shell Infotech,Singapore,Posted a month ago,,USD,54000.0,78000.0,66000.0
266,Data/BI Analyst (PowerBI),LYNEER CORP (SINGAPORE) PTE. LTD.,Singapore,Posted a month ago,,USD,60000.0,78000.0,69000.0
267,Data Management Analyst,Tech Grid Asia,Singapore,Posted a month ago,,USD,72000.0,126000.0,99000.0
268,Data Team Analyst,NATIONAL UNIVERSITY HEALTH SERVICES GROUP PTE. LTD.,"Singapore, Temasek Avenue",Posted a month ago,,USD,104400.0,135600.0,120000.0
269,Data/BI Analyst (PowerBI),Manpower Singapore,"Singapore, Temasek Boulevard",Posted a month ago,,USD,60000.0,84000.0,72000.0
270,Data Team Analyst,,"Singapore, Temasek Avenue",Posted a month ago,,USD,104400.0,135600.0,120000.0
271,Data Management Analyst,Razer Inc.,Singapore,Posted a month ago,,USD,72000.0,126000.0,99000.0
272,Data Quality Analyst - Aviation,Manpower Singapore,Singapore,Posted a month ago,1,,,,
273,"Manager/ Senior Manager, Data Business Analyst",ALLIANCE HEALTHCARE GROUP LIMITED,"Singapore, Kallang",Posted a month ago,6,,,,
274,Data Management Analyst,"JPMORGAN CHASE BANK, N.A.",Singapore,Posted a month ago,4,,,,
275,Data Operations Analyst,SCIENTEC CONSULTING PTE. LTD.,Singapore,Posted a month ago,4,,,,
276,Data Insight Analyst,Apple,Singapore,Posted a month ago,1,,,,
277,Market Research Analyst (Business | Data),GETINGE SOUTH EAST ASIA PTE. LTD.,"Singapore, Jurong East",Posted 2 days ago,6,,,,
278,IT Business Analyst (Agile / Data Analytics) - spvw,ACHIEVE SUCCESS PTE. LTD.,"Singapore, Maritime Square",Posted 2 days ago,5,,,,
279,Data Quality Engineer/Analyst,ACHIEVE SUCCESS PTE. LTD.,"Eunos, Singapore",Posted a month ago,,USD,72000.0,144000.0,108000.0
280,Data Quality Engineer/Analyst - A24122,SYNAPXE PTE. LTD.,"Eunos, Singapore",Posted a month ago,,USD,72000.0,144000.0,108000.0
281,"Project Business Analyst (Data Analytics, Cloud)",SEARCHASIA CONSULTING PTE. LTD.,"Singapore, North Buona Vista",Posted a month ago,,USD,60000.0,96000.0,78000.0
282,Business Analyst - Data Governance | Contract | Bank,CANOPIUS ASIA PTE. LTD.,Singapore,Posted a month ago,4,,,,
283,"Analyst, Data Governance (Job ID: 10068361)",ACHIEVE TALENTS PTE. LTD.,Singapore,Posted a month ago,,USD,40800.0,53832.0,47316.0
284,"Intermediate Business Analyst, Data Solutions",CLARKSONS SINGAPORE PTE. LIMITED,"Singapore, Marina",Posted a month ago,,USD,84000.0,132000.0,108000.0
285,Data and Billing Analyst,ARGYLL SCOTT CONSULTING PTE. LTD.,Singapore,Posted a month ago,,USD,42000.0,54000.0,48000.0
286,Senior Associate IT Data Centre Operations Analyst (Network & Security),EU YAN SANG INTERNATIONAL LTD,Singapore,Posted a month ago,4,,,,
287,Senior Associate IT Data Centre Operations Analyst (Systems),,Singapore,Posted a month ago,4,,,,
288,Business Analyst (Data Migration),Manpower Singapore,Singapore,Posted a month ago,4,,,,
289,IT Application Analyst (Data & Process Analytics),Public Service Division,Singapore,Posted a month ago,6,,,,
290,Market Research Analyst (Business | Data),ANTAES ASIA PTE. LTD.,Singapore,Posted 10 days ago,6,,,,
291,AI Project Manager/Business Analyst (Big Data) | Contract,GETINGE SOUTH EAST ASIA PTE. LTD.,Singapore,Posted 17 days ago,,USD,102000.0,120000.0,111000.0
292,"Senior Analyst/AVP, Data Analytics Solutions",SYNAPXE PTE. LTD.,Singapore,Posted 17 days ago,,USD,60000.0,96000.0,78000.0
293,AI Project Manager/Business Analyst (Big Data) | Contract | Bank,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Singapore,Posted 17 days ago,,USD,102000.0,120000.0,111000.0
294,Gen AI Evaluators,APAR TECHNOLOGIES PTE. LTD.,Singapore,Posted 4 hours ago,,SGD,3200.0,5500.0,4350.0
295,Salesforce Analyst,CPF Board,Singapore,Posted 14 days ago,3,,,,
296,SAS Analyst,APPLE SOUTH ASIA PTE. LTD.,Raffles Link / Raffles Place,Posted 14 days ago,,,,,
297,SAS Analyst,TD,Shenton Way,Posted 14 days ago,1,,,,
298,Data & Analytics Lead,THAKRAL ONE PTE. LTD.,Singapore,Posted 23 days ago,,SGD,15000.0,20000.0,17500.0
299,Data Engineer,TRINITY CONSULTING SERVICES PTE. LTD.,Singapore,Posted a month ago,,SGD,100.0,100.0,100.0
300,Metadata Analysis,SC SHIPPING SINGAPORE PTE. LTD.,Singapore,Posted a month ago,,,,,